title,album,audio,duration,ord,genre 0,genre 1,genre 2
Only Instrumental,Directionless EP,https://freemusicarchive.org/music/download/87129c0b00e56d75a7c236a86d450b9473cc3eaa,2:38,6,Electronic,Minimal Electronic,
Night Owl,Directionless EP,https://freemusicarchive.org/music/download/79849a094a0218756096a011736b73beb088fc8f,3:14,1,Electronic,Minimal Electronic,
My Luck,Directionless EP,https://freemusicarchive.org/music/download/13450f31332045f06f4cfcd64a5f83785933e9e4,5:23,4,Electronic,Minimal Electronic,
My Always Mood,Directionless EP,https://freemusicarchive.org/music/download/d3494c31ae5f2ca9685f4d60b5bb390fd5108e5d,3:08,2,Electronic,Minimal Electronic,
Mell's Parade,Directionless EP,https://freemusicarchive.org/music/download/5659cbfc1aebaeb7a6ca59607ef42937899636c2,3:18,5,Electronic,Minimal Electronic,
Day Bird,Directionless EP,https://freemusicarchive.org/music/download/b9fd95e56e24ca2db42b9626179ab444488eaba7,3:43,3,Electronic,Minimal Electronic,
Things To Come,Gold Can Stay,https://freemusicarchive.org/music/download/f5abc15f2b5a4329c7bc19e7c11fb6da2a18e37e,4:05,4,,,
The Gold Lining,Gold Can Stay,https://freemusicarchive.org/music/download/1585bc38e61279cd16d5c4bde1781de106b24c97,5:11,3,,,
Budding,Gold Can Stay,https://freemusicarchive.org/music/download/aec08baef96768970f5b5b7390a564764cb6e5ce,3:52,1,,,
942 Miles,Gold Can Stay,https://freemusicarchive.org/music/download/d62f02cb1df04577181c4da6310488b29da6cea9,4:48,2,,,
Warm Up Suit,Grass Hop,https://freemusicarchive.org/music/download/30e83986aad9049f231a8bdeb36155041041f701,4:14,1,Electronic,Hip-Hop,Trip-Hop
Over Easy,Grass Hop,https://freemusicarchive.org/music/download/ee0694b26582a844ac2b8469e946c871d4acad9b,3:02,6,Electronic,Hip-Hop,Trip-Hop
Nola,Grass Hop,https://freemusicarchive.org/music/download/4400471b0f0c79630c57a9af4300730a1d7bacb2,4:15,5,Electronic,Hip-Hop,Trip-Hop
Bring Me The Night,Grass Hop,https://freemusicarchive.org/music/download/8c81440eee74641988689f0113c80311c4ad64ca,3:58,3,Electronic,Hip-Hop,Trip-Hop
Breakfast With Tiffany,Grass Hop,https://freemusicarchive.org/music/download/0514a653b673e6ba1490f048dc09b74f8e4580bc,4:07,4,Electronic,Hip-Hop,Trip-Hop
Black Lung,Grass Hop,https://freemusicarchive.org/music/download/f816f97dd6e3b5a486a2523972997808065c4574,3:49,2,Electronic,Hip-Hop,Trip-Hop
The Collector,Layers,https://freemusicarchive.org/music/download/028c77de708d7fcd2b57913fb1b03af8561466be,2:14,8,Electronic,Hip-Hop,Chill-out
Spellbound,Layers,https://freemusicarchive.org/music/download/883cfab3360efa39a19b2028de39aac6ce754c8a,2:54,7,Electronic,Hip-Hop,Chill-out
Quit Bitching,Layers,https://freemusicarchive.org/music/download/18e511b8ba9a442a236127b46fc920b42c7bd526,4:04,9,Electronic,Hip-Hop,Chill-out
Only Knows,Layers,https://freemusicarchive.org/music/download/d00e103410685c2903380f027c71d091f0649eaf,2:59,3,Electronic,Hip-Hop,Chill-out
Note Drop,Layers,https://freemusicarchive.org/music/download/fbbcd1de494b8b3da3c6f000a90bcd851fd3a9f5,3:10,5,Electronic,Hip-Hop,Chill-out
Murmur,Layers,https://freemusicarchive.org/music/download/ba3fa7dfe894240fc949131333b84ad96814a3b2,4:08,6,Electronic,Hip-Hop,Chill-out
Knock Knock,Layers,https://freemusicarchive.org/music/download/acfe014ccc60b66029ee7f055a702f20d9023a49,2:36,2,Electronic,Hip-Hop,Chill-out
If,Layers,https://freemusicarchive.org/music/download/62b303083b7988abe1150e7c87cd8b8153a374ac,3:20,4,Electronic,Hip-Hop,Chill-out
As Colorful As Ever,Layers,https://freemusicarchive.org/music/download/95bf2f41dc1a1c78c87158854d905174a99edbcf,3:54,1,Electronic,Hip-Hop,Chill-out
A Year,Layers,https://freemusicarchive.org/music/download/48edfa7a02e847134424c55f505518fcfe533c68,3:14,10,Electronic,Hip-Hop,Chill-out
Sidewalk Chalk,Leaf,https://freemusicarchive.org/music/download/c77261563bc1726df3ac5d04c6bf832fb0c18a86,4:25,7,,,
One And,Leaf,https://freemusicarchive.org/music/download/400d73cc58873f0ab90f30f880dfb989e19a1821,4:00,8,,,
Luminous,Leaf,https://freemusicarchive.org/music/download/cca4003dcf57ea4100f9616a44266a1622dcae01,5:04,5,,,
Lonely Organ,Leaf,https://freemusicarchive.org/music/download/948eb361f0c1c93fb46da79f0b360bbd3dd11311,4:20,1,,,
Like Swimming,Leaf,https://freemusicarchive.org/music/download/416fd5bc59a32facaee1ba0dc667faaeba99d0c5,3:50,2,,,
